Planning Area,Subzone,Age Group,Floor Area,2024
Ang Mo Kio,Cheng San,85 - 89,≤ 60,10
Ang Mo Kio,Cheng San,85 - 89,> 60 - 80,160
Ang Mo Kio,Cheng San,85 - 89,> 80 - 100,170
Ang Mo Kio,Cheng San,85 - 89,> 100 - 120,50
Ang Mo Kio,Cheng San,85 - 89,> 120,10
Ang Mo Kio,Cheng San,90 & Over,Total*,220
Ang Mo Kio,Cheng San,90 & Over,≤ 60,10
Ang Mo Kio,Cheng San,90 & Over,> 60 - 80,70
Ang Mo Kio,Cheng San,90 & Over,> 80 - 100,110
Ang Mo Kio,Cheng San,90 & Over,> 100 - 120,20
Ang Mo Kio,Cheng San,90 & Over,> 120,10
Ang Mo Kio,Chong Boon,Total,Total*,25190
Ang Mo Kio,Chong Boon,Total,≤ 60,1460
Ang Mo Kio,Chong Boon,Total,> 60 - 80,9670
Ang Mo Kio,Chong Boon,Total,> 80 - 100,9640
Ang Mo Kio,Chong Boon,Total,> 100 - 120,3370
Ang Mo Kio,Chong Boon,Total,> 120,490
Ang Mo Kio,Chong Boon,0 - 4,Total*,610
Ang Mo Kio,Chong Boon,0 - 4,≤ 60,80
Ang Mo Kio,Chong Boon,0 - 4,> 60 - 80,180
Ang Mo Kio,Chong Boon,0 - 4,> 80 - 100,240
Ang Mo Kio,Chong Boon,0 - 4,> 100 - 120,100
Ang Mo Kio,Chong Boon,0 - 4,> 120,10
Ang Mo Kio,Chong Boon,5 - 9,Total*,720
Ang Mo Kio,Chong Boon,5 - 9,≤ 60,60
Ang Mo Kio,Chong Boon,5 - 9,> 60 - 80,220
Ang Mo Kio,Chong Boon,5 - 9,> 80 - 100,300
Ang Mo Kio,Chong Boon,5 - 9,> 100 - 120,130
Ang Mo Kio,Chong Boon,5 - 9,> 120,20
Ang Mo Kio,Chong Boon,10 - 14,Total*,860
Ang Mo Kio,Chong Boon,10 - 14,≤ 60,60
Ang Mo Kio,Chong Boon,10 - 14,> 60 - 80,310
Ang Mo Kio,Chong Boon,10 - 14,> 80 - 100,310
Ang Mo Kio,Chong Boon,10 - 14,> 100 - 120,150
Ang Mo Kio,Chong Boon,10 - 14,> 120,30
Ang Mo Kio,Chong Boon,15 - 19,Total*,990
Ang Mo Kio,Chong Boon,15 - 19,≤ 60,80
Ang Mo Kio,Chong Boon,15 - 19,> 60 - 80,370
Ang Mo Kio,Chong Boon,15 - 19,> 80 - 100,340
Ang Mo Kio,Chong Boon,15 - 19,> 100 - 120,170
Ang Mo Kio,Chong Boon,15 - 19,> 120,30
Ang Mo Kio,Chong Boon,20 - 24,Total*,1120
Ang Mo Kio,Chong Boon,20 - 24,≤ 60,80
Ang Mo Kio,Chong Boon,20 - 24,> 60 - 80,450
Ang Mo Kio,Chong Boon,20 - 24,> 80 - 100,410
Ang Mo Kio,Chong Boon,20 - 24,> 100 - 120,170
Ang Mo Kio,Chong Boon,20 - 24,> 120,20
Ang Mo Kio,Chong Boon,25 - 29,Total*,1430
Ang Mo Kio,Chong Boon,25 - 29,≤ 60,90
Ang Mo Kio,Chong Boon,25 - 29,> 60 - 80,530
Ang Mo Kio,Chong Boon,25 - 29,> 80 - 100,590
Ang Mo Kio,Chong Boon,25 - 29,> 100 - 120,190
Ang Mo Kio,Chong Boon,25 - 29,> 120,30
Ang Mo Kio,Chong Boon,30 - 34,Total*,1570
Ang Mo Kio,Chong Boon,30 - 34,≤ 60,80
Ang Mo Kio,Chong Boon,30 - 34,> 60 - 80,570
Ang Mo Kio,Chong Boon,30 - 34,> 80 - 100,620
Ang Mo Kio,Chong Boon,30 - 34,> 100 - 120,250
Ang Mo Kio,Chong Boon,30 - 34,> 120,40
Ang Mo Kio,Chong Boon,35 - 39,Total*,1610
Ang Mo Kio,Chong Boon,35 - 39,≤ 60,80
Ang Mo Kio,Chong Boon,35 - 39,> 60 - 80,560
Ang Mo Kio,Chong Boon,35 - 39,> 80 - 100,700
Ang Mo Kio,Chong Boon,35 - 39,> 100 - 120,240
Ang Mo Kio,Chong Boon,35 - 39,> 120,20
Ang Mo Kio,Chong Boon,40 - 44,Total*,1580
Ang Mo Kio,Chong Boon,40 - 44,≤ 60,60
Ang Mo Kio,Chong Boon,40 - 44,> 60 - 80,610
Ang Mo Kio,Chong Boon,40 - 44,> 80 - 100,640
Ang Mo Kio,Chong Boon,40 - 44,> 100 - 120,230
Ang Mo Kio,Chong Boon,40 - 44,> 120,40
Ang Mo Kio,Chong Boon,45 - 49,Total*,1740
Ang Mo Kio,Chong Boon,45 - 49,≤ 60,60
Ang Mo Kio,Chong Boon,45 - 49,> 60 - 80,750
Ang Mo Kio,Chong Boon,45 - 49,> 80 - 100,640
Ang Mo Kio,Chong Boon,45 - 49,> 100 - 120,240
Ang Mo Kio,Chong Boon,45 - 49,> 120,40
Ang Mo Kio,Chong Boon,50 - 54,Total*,1770
Ang Mo Kio,Chong Boon,50 - 54,≤ 60,70
Ang Mo Kio,Chong Boon,50 - 54,> 60 - 80,730
Ang Mo Kio,Chong Boon,50 - 54,> 80 - 100,680
Ang Mo Kio,Chong Boon,50 - 54,> 100 - 120,230
Ang Mo Kio,Chong Boon,50 - 54,> 120,30
Ang Mo Kio,Chong Boon,55 - 59,Total*,1910
Ang Mo Kio,Chong Boon,55 - 59,≤ 60,130
Ang Mo Kio,Chong Boon,55 - 59,> 60 - 80,790
Ang Mo Kio,Chong Boon,55 - 59,> 80 - 100,720
Ang Mo Kio,Chong Boon,55 - 59,> 100 - 120,200
Ang Mo Kio,Chong Boon,55 - 59,> 120,20
Ang Mo Kio,Chong Boon,60 - 64,Total*,2040
Ang Mo Kio,Chong Boon,60 - 64,≤ 60,130
Ang Mo Kio,Chong Boon,60 - 64,> 60 - 80,850
Ang Mo Kio,Chong Boon,60 - 64,> 80 - 100,760
Ang Mo Kio,Chong Boon,60 - 64,> 100 - 120,240
Ang Mo Kio,Chong Boon,60 - 64,> 120,30
Ang Mo Kio,Chong Boon,65 - 69,Total*,2040
Ang Mo Kio,Chong Boon,65 - 69,≤ 60,130
Ang Mo Kio,Chong Boon,65 - 69,> 60 - 80,840
Ang Mo Kio,Chong Boon,65 - 69,> 80 - 100,750
Ang Mo Kio,Chong Boon,65 - 69,> 100 - 120,230
Ang Mo Kio,Chong Boon,65 - 69,> 120,30
Ang Mo Kio,Chong Boon,70 - 74,Total*,1920
Ang Mo Kio,Chong Boon,70 - 74,≤ 60,90
Ang Mo Kio,Chong Boon,70 - 74,> 60 - 80,780
Ang Mo Kio,Chong Boon,70 - 74,> 80 - 100,700
Ang Mo Kio,Chong Boon,70 - 74,> 100 - 120,250
Ang Mo Kio,Chong Boon,70 - 74,> 120,40
Ang Mo Kio,Chong Boon,75 - 79,Total*,1500
Ang Mo Kio,Chong Boon,75 - 79,≤ 60,90
Ang Mo Kio,Chong Boon,75 - 79,> 60 - 80,590
Ang Mo Kio,Chong Boon,75 - 79,> 80 - 100,520
Ang Mo Kio,Chong Boon,75 - 79,> 100 - 120,190
Ang Mo Kio,Chong Boon,75 - 79,> 120,30
Ang Mo Kio,Chong Boon,80 - 84,Total*,960
Ang Mo Kio,Chong Boon,80 - 84,≤ 60,40
Ang Mo Kio,Chong Boon,80 - 84,> 60 - 80,360
Ang Mo Kio,Chong Boon,80 - 84,> 80 - 100,390
Ang Mo Kio,Chong Boon,80 - 84,> 100 - 120,90
Ang Mo Kio,Chong Boon,80 - 84,> 120,10
Ang Mo Kio,Chong Boon,85 - 89,Total*,510
Ang Mo Kio,Chong Boon,85 - 89,≤ 60,30
Ang Mo Kio,Chong Boon,85 - 89,> 60 - 80,150
Ang Mo Kio,Chong Boon,85 - 89,> 80 - 100,210
Ang Mo Kio,Chong Boon,85 - 89,> 100 - 120,50
Ang Mo Kio,Chong Boon,85 - 89,> 120,10
Ang Mo Kio,Chong Boon,90 & Over,Total*,280
Ang Mo Kio,Chong Boon,90 & Over,≤ 60,20
Ang Mo Kio,Chong Boon,90 & Over,> 60 - 80,60
Ang Mo Kio,Chong Boon,90 & Over,> 80 - 100,120
Ang Mo Kio,Chong Boon,90 & Over,> 100 - 120,20
Ang Mo Kio,Chong Boon,90 & Over,> 120,-
Ang Mo Kio,Kebun Bahru,Total,Total*,21980
Ang Mo Kio,Kebun Bahru,Total,≤ 60,2270
Ang Mo Kio,Kebun Bahru,Total,> 60 - 80,8150
Ang Mo Kio,Kebun Bahru,Total,> 80 - 100,7120
Ang Mo Kio,Kebun Bahru,Total,> 100 - 120,1160
Ang Mo Kio,Kebun Bahru,Total,> 120,3070
Ang Mo Kio,Kebun Bahru,0 - 4,Total*,560
Ang Mo Kio,Kebun Bahru,0 - 4,≤ 60,80
Ang Mo Kio,Kebun Bahru,0 - 4,> 60 - 80,160
Ang Mo Kio,Kebun Bahru,0 - 4,> 80 - 100,190
Ang Mo Kio,Kebun Bahru,0 - 4,> 100 - 120,40
Ang Mo Kio,Kebun Bahru,0 - 4,> 120,90
Ang Mo Kio,Kebun Bahru,5 - 9,Total*,780
Ang Mo Kio,Kebun Bahru,5 - 9,≤ 60,80
Ang Mo Kio,Kebun Bahru,5 - 9,> 60 - 80,230
Ang Mo Kio,Kebun Bahru,5 - 9,> 80 - 100,240
Ang Mo Kio,Kebun Bahru,5 - 9,> 100 - 120,80
Ang Mo Kio,Kebun Bahru,5 - 9,> 120,150
Ang Mo Kio,Kebun Bahru,10 - 14,Total*,850
Ang Mo Kio,Kebun Bahru,10 - 14,≤ 60,60
Ang Mo Kio,Kebun Bahru,10 - 14,> 60 - 80,250
Ang Mo Kio,Kebun Bahru,10 - 14,> 80 - 100,260
Ang Mo Kio,Kebun Bahru,10 - 14,> 100 - 120,80
Ang Mo Kio,Kebun Bahru,10 - 14,> 120,190
Ang Mo Kio,Kebun Bahru,15 - 19,Total*,940
Ang Mo Kio,Kebun Bahru,15 - 19,≤ 60,70
Ang Mo Kio,Kebun Bahru,15 - 19,> 60 - 80,320
Ang Mo Kio,Kebun Bahru,15 - 19,> 80 - 100,300
Ang Mo Kio,Kebun Bahru,15 - 19,> 100 - 120,70
Ang Mo Kio,Kebun Bahru,15 - 19,> 120,190
Ang Mo Kio,Kebun Bahru,20 - 24,Total*,1030
Ang Mo Kio,Kebun Bahru,20 - 24,≤ 60,100
Ang Mo Kio,Kebun Bahru,20 - 24,> 60 - 80,350
Ang Mo Kio,Kebun Bahru,20 - 24,> 80 - 100,340
Ang Mo Kio,Kebun Bahru,20 - 24,> 100 - 120,70
Ang Mo Kio,Kebun Bahru,20 - 24,> 120,160
Ang Mo Kio,Kebun Bahru,25 - 29,Total*,1180
Ang Mo Kio,Kebun Bahru,25 - 29,≤ 60,130
Ang Mo Kio,Kebun Bahru,25 - 29,> 60 - 80,410
Ang Mo Kio,Kebun Bahru,25 - 29,> 80 - 100,390
Ang Mo Kio,Kebun Bahru,25 - 29,> 100 - 120,60
Ang Mo Kio,Kebun Bahru,25 - 29,> 120,180
Ang Mo Kio,Kebun Bahru,30 - 34,Total*,1370
Ang Mo Kio,Kebun Bahru,30 - 34,≤ 60,140
Ang Mo Kio,Kebun Bahru,30 - 34,> 60 - 80,510
Ang Mo Kio,Kebun Bahru,30 - 34,> 80 - 100,450
Ang Mo Kio,Kebun Bahru,30 - 34,> 100 - 120,70
Ang Mo Kio,Kebun Bahru,30 - 34,> 120,190
Ang Mo Kio,Kebun Bahru,35 - 39,Total*,1360
Ang Mo Kio,Kebun Bahru,35 - 39,≤ 60,120
Ang Mo Kio,Kebun Bahru,35 - 39,> 60 - 80,550
Ang Mo Kio,Kebun Bahru,35 - 39,> 80 - 100,450
Ang Mo Kio,Kebun Bahru,35 - 39,> 100 - 120,80
Ang Mo Kio,Kebun Bahru,35 - 39,> 120,150
Ang Mo Kio,Kebun Bahru,40 - 44,Total*,1550
Ang Mo Kio,Kebun Bahru,40 - 44,≤ 60,120
Ang Mo Kio,Kebun Bahru,40 - 44,> 60 - 80,620
Ang Mo Kio,Kebun Bahru,40 - 44,> 80 - 100,500
Ang Mo Kio,Kebun Bahru,40 - 44,> 100 - 120,80
Ang Mo Kio,Kebun Bahru,40 - 44,> 120,220
Ang Mo Kio,Kebun Bahru,45 - 49,Total*,1590
Ang Mo Kio,Kebun Bahru,45 - 49,≤ 60,110
Ang Mo Kio,Kebun Bahru,45 - 49,> 60 - 80,610
Ang Mo Kio,Kebun Bahru,45 - 49,> 80 - 100,560
Ang Mo Kio,Kebun Bahru,45 - 49,> 100 - 120,100
Ang Mo Kio,Kebun Bahru,45 - 49,> 120,210
Ang Mo Kio,Kebun Bahru,50 - 54,Total*,1700
Ang Mo Kio,Kebun Bahru,50 - 54,≤ 60,130
Ang Mo Kio,Kebun Bahru,50 - 54,> 60 - 80,660
Ang Mo Kio,Kebun Bahru,50 - 54,> 80 - 100,560
Ang Mo Kio,Kebun Bahru,50 - 54,> 100 - 120,100
Ang Mo Kio,Kebun Bahru,50 - 54,> 120,240
Ang Mo Kio,Kebun Bahru,55 - 59,Total*,1690
Ang Mo Kio,Kebun Bahru,55 - 59,≤ 60,220
Ang Mo Kio,Kebun Bahru,55 - 59,> 60 - 80,650
Ang Mo Kio,Kebun Bahru,55 - 59,> 80 - 100,540
Ang Mo Kio,Kebun Bahru,55 - 59,> 100 - 120,70
Ang Mo Kio,Kebun Bahru,55 - 59,> 120,200
Ang Mo Kio,Kebun Bahru,60 - 64,Total*,1680
Ang Mo Kio,Kebun Bahru,60 - 64,≤ 60,190
Ang Mo Kio,Kebun Bahru,60 - 64,> 60 - 80,690
Ang Mo Kio,Kebun Bahru,60 - 64,> 80 - 100,510
Ang Mo Kio,Kebun Bahru,60 - 64,> 100 - 120,60
Ang Mo Kio,Kebun Bahru,60 - 64,> 120,210
Ang Mo Kio,Kebun Bahru,65 - 69,Total*,1650
Ang Mo Kio,Kebun Bahru,65 - 69,≤ 60,210
Ang Mo Kio,Kebun Bahru,65 - 69,> 60 - 80,630
Ang Mo Kio,Kebun Bahru,65 - 69,> 80 - 100,550
Ang Mo Kio,Kebun Bahru,65 - 69,> 100 - 120,60
Ang Mo Kio,Kebun Bahru,65 - 69,> 120,180
Ang Mo Kio,Kebun Bahru,70 - 74,Total*,1580
Ang Mo Kio,Kebun Bahru,70 - 74,≤ 60,190
Ang Mo Kio,Kebun Bahru,70 - 74,> 60 - 80,620
Ang Mo Kio,Kebun Bahru,70 - 74,> 80 - 100,500
Ang Mo Kio,Kebun Bahru,70 - 74,> 100 - 120,50
Ang Mo Kio,Kebun Bahru,70 - 74,> 120,190
Ang Mo Kio,Kebun Bahru,75 - 79,Total*,1130
Ang Mo Kio,Kebun Bahru,75 - 79,≤ 60,120
Ang Mo Kio,Kebun Bahru,75 - 79,> 60 - 80,440
Ang Mo Kio,Kebun Bahru,75 - 79,> 80 - 100,370
Ang Mo Kio,Kebun Bahru,75 - 79,> 100 - 120,50
Ang Mo Kio,Kebun Bahru,75 - 79,> 120,130
Ang Mo Kio,Kebun Bahru,80 - 84,Total*,730
Ang Mo Kio,Kebun Bahru,80 - 84,≤ 60,90
Ang Mo Kio,Kebun Bahru,80 - 84,> 60 - 80,270
Ang Mo Kio,Kebun Bahru,80 - 84,> 80 - 100,220
Ang Mo Kio,Kebun Bahru,80 - 84,> 100 - 120,30
Ang Mo Kio,Kebun Bahru,80 - 84,> 120,90
Ang Mo Kio,Kebun Bahru,85 - 89,Total*,400
Ang Mo Kio,Kebun Bahru,85 - 89,≤ 60,50
Ang Mo Kio,Kebun Bahru,85 - 89,> 60 - 80,130
Ang Mo Kio,Kebun Bahru,85 - 89,> 80 - 100,120
Ang Mo Kio,Kebun Bahru,85 - 89,> 100 - 120,10
Ang Mo Kio,Kebun Bahru,85 - 89,> 120,70
Ang Mo Kio,Kebun Bahru,90 & Over,Total*,230
Ang Mo Kio,Kebun Bahru,90 & Over,≤ 60,30
Ang Mo Kio,Kebun Bahru,90 & Over,> 60 - 80,70
Ang Mo Kio,Kebun Bahru,90 & Over,> 80 - 100,80
Ang Mo Kio,Kebun Bahru,90 & Over,> 100 - 120,-
Ang Mo Kio,Kebun Bahru,90 & Over,> 120,40
Ang Mo Kio,Sembawang Hills,Total,Total*,6950
Ang Mo Kio,Sembawang Hills,Total,≤ 60,50
Ang Mo Kio,Sembawang Hills,Total,> 60 - 80,150
Ang Mo Kio,Sembawang Hills,Total,> 80 - 100,330
Ang Mo Kio,Sembawang Hills,Total,> 100 - 120,380
Ang Mo Kio,Sembawang Hills,Total,> 120,5960
Ang Mo Kio,Sembawang Hills,0 - 4,Total*,200
Ang Mo Kio,Sembawang Hills,0 - 4,≤ 60,-
Ang Mo Kio,Sembawang Hills,0 - 4,> 60 - 80,10
Ang Mo Kio,Sembawang Hills,0 - 4,> 80 - 100,10
Ang Mo Kio,Sembawang Hills,0 - 4,> 100 - 120,10
Ang Mo Kio,Sembawang Hills,0 - 4,> 120,160
Ang Mo Kio,Sembawang Hills,5 - 9,Total*,370
Ang Mo Kio,Sembawang Hills,5 - 9,≤ 60,-
Ang Mo Kio,Sembawang Hills,5 - 9,> 60 - 80,10
Ang Mo Kio,Sembawang Hills,5 - 9,> 80 - 100,20
Ang Mo Kio,Sembawang Hills,5 - 9,> 100 - 120,10
Ang Mo Kio,Sembawang Hills,5 - 9,> 120,320
Ang Mo Kio,Sembawang Hills,10 - 14,Total*,360
Ang Mo Kio,Sembawang Hills,10 - 14,≤ 60,-
Ang Mo Kio,Sembawang Hills,10 - 14,> 60 - 80,-
Ang Mo Kio,Sembawang Hills,10 - 14,> 80 - 100,20
Ang Mo Kio,Sembawang Hills,10 - 14,> 100 - 120,20
Ang Mo Kio,Sembawang Hills,10 - 14,> 120,320
Ang Mo Kio,Sembawang Hills,15 - 19,Total*,450
Ang Mo Kio,Sembawang Hills,15 - 19,≤ 60,-
Ang Mo Kio,Sembawang Hills,15 - 19,> 60 - 80,10
Ang Mo Kio,Sembawang Hills,15 - 19,> 80 - 100,10
Ang Mo Kio,Sembawang Hills,15 - 19,> 100 - 120,10
Ang Mo Kio,Sembawang Hills,15 - 19,> 120,410
Ang Mo Kio,Sembawang Hills,20 - 24,Total*,450
Ang Mo Kio,Sembawang Hills,20 - 24,≤ 60,-
Ang Mo Kio,Sembawang Hills,20 - 24,> 60 - 80,-
Ang Mo Kio,Sembawang Hills,20 - 24,> 80 - 100,10
Ang Mo Kio,Sembawang Hills,20 - 24,> 100 - 120,10
Ang Mo Kio,Sembawang Hills,20 - 24,> 120,420
Ang Mo Kio,Sembawang Hills,25 - 29,Total*,460
Ang Mo Kio,Sembawang Hills,25 - 29,≤ 60,-
Ang Mo Kio,Sembawang Hills,25 - 29,> 60 - 80,10
Ang Mo Kio,Sembawang Hills,25 - 29,> 80 - 100,20
Ang Mo Kio,Sembawang Hills,25 - 29,> 100 - 120,30
Ang Mo Kio,Sembawang Hills,25 - 29,> 120,410
Ang Mo Kio,Sembawang Hills,30 - 34,Total*,410
Ang Mo Kio,Sembawang Hills,30 - 34,≤ 60,-
Ang Mo Kio,Sembawang Hills,30 - 34,> 60 - 80,20
Ang Mo Kio,Sembawang Hills,30 - 34,> 80 - 100,30
Ang Mo Kio,Sembawang Hills,30 - 34,> 100 - 120,20
Ang Mo Kio,Sembawang Hills,30 - 34,> 120,320
Ang Mo Kio,Sembawang Hills,35 - 39,Total*,320
Ang Mo Kio,Sembawang Hills,35 - 39,≤ 60,10
Ang Mo Kio,Sembawang Hills,35 - 39,> 60 - 80,10
Ang Mo Kio,Sembawang Hills,35 - 39,> 80 - 100,20
Ang Mo Kio,Sembawang Hills,35 - 39,> 100 - 120,10
Ang Mo Kio,Sembawang Hills,35 - 39,> 120,260
Ang Mo Kio,Sembawang Hills,40 - 44,Total*,410
Ang Mo Kio,Sembawang Hills,40 - 44,≤ 60,10
Ang Mo Kio,Sembawang Hills,40 - 44,> 60 - 80,10
Ang Mo Kio,Sembawang Hills,40 - 44,> 80 - 100,20
Ang Mo Kio,Sembawang Hills,40 - 44,> 100 - 120,30
Ang Mo Kio,Sembawang Hills,40 - 44,> 120,340
Ang Mo Kio,Sembawang Hills,45 - 49,Total*,460
Ang Mo Kio,Sembawang Hills,45 - 49,≤ 60,10
Ang Mo Kio,Sembawang Hills,45 - 49,> 60 - 80,20
Ang Mo Kio,Sembawang Hills,45 - 49,> 80 - 100,20
Ang Mo Kio,Sembawang Hills,45 - 49,> 100 - 120,20
Ang Mo Kio,Sembawang Hills,45 - 49,> 120,390
Ang Mo Kio,Sembawang Hills,50 - 54,Total*,550
Ang Mo Kio,Sembawang Hills,50 - 54,≤ 60,-
Ang Mo Kio,Sembawang Hills,50 - 54,> 60 - 80,10
Ang Mo Kio,Sembawang Hills,50 - 54,> 80 - 100,20
Ang Mo Kio,Sembawang Hills,50 - 54,> 100 - 120,20
Ang Mo Kio,Sembawang Hills,50 - 54,> 120,490
Ang Mo Kio,Sembawang Hills,55 - 59,Total*,530
Ang Mo Kio,Sembawang Hills,55 - 59,≤ 60,-
Ang Mo Kio,Sembawang Hills,55 - 59,> 60 - 80,10
Ang Mo Kio,Sembawang Hills,55 - 59,> 80 - 100,30
Ang Mo Kio,Sembawang Hills,55 - 59,> 100 - 120,30
Ang Mo Kio,Sembawang Hills,55 - 59,> 120,450
Ang Mo Kio,Sembawang Hills,60 - 64,Total*,490
Ang Mo Kio,Sembawang Hills,60 - 64,≤ 60,-
Ang Mo Kio,Sembawang Hills,60 - 64,> 60 - 80,10
Ang Mo Kio,Sembawang Hills,60 - 64,> 80 - 100,20
Ang Mo Kio,Sembawang Hills,60 - 64,> 100 - 120,40
Ang Mo Kio,Sembawang Hills,60 - 64,> 120,420
Ang Mo Kio,Sembawang Hills,65 - 69,Total*,420
Ang Mo Kio,Sembawang Hills,65 - 69,≤ 60,-
Ang Mo Kio,Sembawang Hills,65 - 69,> 60 - 80,10
Ang Mo Kio,Sembawang Hills,65 - 69,> 80 - 100,20
Ang Mo Kio,Sembawang Hills,65 - 69,> 100 - 120,30
Ang Mo Kio,Sembawang Hills,65 - 69,> 120,360
Ang Mo Kio,Sembawang Hills,70 - 74,Total*,390
Ang Mo Kio,Sembawang Hills,70 - 74,≤ 60,-
Ang Mo Kio,Sembawang Hills,70 - 74,> 60 - 80,10
Ang Mo Kio,Sembawang Hills,70 - 74,> 80 - 100,20
Ang Mo Kio,Sembawang Hills,70 - 74,> 100 - 120,20
Ang Mo Kio,Sembawang Hills,70 - 74,> 120,340
Ang Mo Kio,Sembawang Hills,75 - 79,Total*,290
Ang Mo Kio,Sembawang Hills,75 - 79,≤ 60,-
Ang Mo Kio,Sembawang Hills,75 - 79,> 60 - 80,10
Ang Mo Kio,Sembawang Hills,75 - 79,> 80 - 100,20
Ang Mo Kio,Sembawang Hills,75 - 79,> 100 - 120,20
Ang Mo Kio,Sembawang Hills,75 - 79,> 120,240
Ang Mo Kio,Sembawang Hills,80 - 84,Total*,210
Ang Mo Kio,Sembawang Hills,80 - 84,≤ 60,-
Ang Mo Kio,Sembawang Hills,80 - 84,> 60 - 80,-
Ang Mo Kio,Sembawang Hills,80 - 84,> 80 - 100,10
Ang Mo Kio,Sembawang Hills,80 - 84,> 100 - 120,20
Ang Mo Kio,Sembawang Hills,80 - 84,> 120,170
Ang Mo Kio,Sembawang Hills,85 - 89,Total*,120
Ang Mo Kio,Sembawang Hills,85 - 89,≤ 60,-
Ang Mo Kio,Sembawang Hills,85 - 89,> 60 - 80,-
Ang Mo Kio,Sembawang Hills,85 - 89,> 80 - 100,10
Ang Mo Kio,Sembawang Hills,85 - 89,> 100 - 120,20
Ang Mo Kio,Sembawang Hills,85 - 89,> 120,90
Ang Mo Kio,Sembawang Hills,90 & Over,Total*,80
Ang Mo Kio,Sembawang Hills,90 & Over,≤ 60,-
Ang Mo Kio,Sembawang Hills,90 & Over,> 60 - 80,-
Ang Mo Kio,Sembawang Hills,90 & Over,> 80 - 100,10
Ang Mo Kio,Sembawang Hills,90 & Over,> 100 - 120,10
Ang Mo Kio,Sembawang Hills,90 & Over,> 120,50
Ang Mo Kio,Shangri-La,Total,Total*,17460
Ang Mo Kio,Shangri-La,Total,≤ 60,3050
Ang Mo Kio,Shangri-La,Total,> 60 - 80,5150
Ang Mo Kio,Shangri-La,Total,> 80 - 100,5790
Ang Mo Kio,Shangri-La,Total,> 100 - 120,1660
Ang Mo Kio,Shangri-La,Total,> 120,1600
Ang Mo Kio,Shangri-La,0 - 4,Total*,680
Ang Mo Kio,Shangri-La,0 - 4,≤ 60,150
Ang Mo Kio,Shangri-La,0 - 4,> 60 - 80,90
Ang Mo Kio,Shangri-La,0 - 4,> 80 - 100,270
Ang Mo Kio,Shangri-La,0 - 4,> 100 - 120,120
Ang Mo Kio,Shangri-La,0 - 4,> 120,50
Ang Mo Kio,Shangri-La,5 - 9,Total*,750
Ang Mo Kio,Shangri-La,5 - 9,≤ 60,160
Ang Mo Kio,Shangri-La,5 - 9,> 60 - 80,120
Ang Mo Kio,Shangri-La,5 - 9,> 80 - 100,250
Ang Mo Kio,Shangri-La,5 - 9,> 100 - 120,150
Ang Mo Kio,Shangri-La,5 - 9,> 120,70
Ang Mo Kio,Shangri-La,10 - 14,Total*,680
Ang Mo Kio,Shangri-La,10 - 14,≤ 60,150
Ang Mo Kio,Shangri-La,10 - 14,> 60 - 80,140
Ang Mo Kio,Shangri-La,10 - 14,> 80 - 100,210
Ang Mo Kio,Shangri-La,10 - 14,> 100 - 120,110
Ang Mo Kio,Shangri-La,10 - 14,> 120,70
Ang Mo Kio,Shangri-La,15 - 19,Total*,770
Ang Mo Kio,Shangri-La,15 - 19,≤ 60,190
Ang Mo Kio,Shangri-La,15 - 19,> 60 - 80,200
Ang Mo Kio,Shangri-La,15 - 19,> 80 - 100,240
Ang Mo Kio,Shangri-La,15 - 19,> 100 - 120,80
Ang Mo Kio,Shangri-La,15 - 19,> 120,70
Ang Mo Kio,Shangri-La,20 - 24,Total*,800
Ang Mo Kio,Shangri-La,20 - 24,≤ 60,190
Ang Mo Kio,Shangri-La,20 - 24,> 60 - 80,230
Ang Mo Kio,Shangri-La,20 - 24,> 80 - 100,240
Ang Mo Kio,Shangri-La,20 - 24,> 100 - 120,70
Ang Mo Kio,Shangri-La,20 - 24,> 120,80
Ang Mo Kio,Shangri-La,25 - 29,Total*,1010
Ang Mo Kio,Shangri-La,25 - 29,≤ 60,170
Ang Mo Kio,Shangri-La,25 - 29,> 60 - 80,270
Ang Mo Kio,Shangri-La,25 - 29,> 80 - 100,340
Ang Mo Kio,Shangri-La,25 - 29,> 100 - 120,100
Ang Mo Kio,Shangri-La,25 - 29,> 120,130
Ang Mo Kio,Shangri-La,30 - 34,Total*,1210
Ang Mo Kio,Shangri-La,30 - 34,≤ 60,180
Ang Mo Kio,Shangri-La,30 - 34,> 60 - 80,280
Ang Mo Kio,Shangri-La,30 - 34,> 80 - 100,510
Ang Mo Kio,Shangri-La,30 - 34,> 100 - 120,150
Ang Mo Kio,Shangri-La,30 - 34,> 120,100
Ang Mo Kio,Shangri-La,35 - 39,Total*,1100
Ang Mo Kio,Shangri-La,35 - 39,≤ 60,130
Ang Mo Kio,Shangri-La,35 - 39,> 60 - 80,250
Ang Mo Kio,Shangri-La,35 - 39,> 80 - 100,460
Ang Mo Kio,Shangri-La,35 - 39,> 100 - 120,170
Ang Mo Kio,Shangri-La,35 - 39,> 120,90
Ang Mo Kio,Shangri-La,40 - 44,Total*,1080
Ang Mo Kio,Shangri-La,40 - 44,≤ 60,120
Ang Mo Kio,Shangri-La,40 - 44,> 60 - 80,300
Ang Mo Kio,Shangri-La,40 - 44,> 80 - 100,440
Ang Mo Kio,Shangri-La,40 - 44,> 100 - 120,150
Ang Mo Kio,Shangri-La,40 - 44,> 120,80
