Planning Area,Subzone,Age Group,Type of Dwelling,2024
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,Total HDB^,230
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,3-Room Flats,20
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,4-Room Flats,50
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,5-Room and Executive Flats,160
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,Condominiums and Other Apartments,180
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,Total,430
Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,Total HDB^,210
Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,3-Room Flats,30
Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,4-Room Flats,50
Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,5-Room and Executive Flats,130
